轮次,合同设计,发布者效用
1,"[37, 37, 37, 37, 37, 30.525, 30.525, 30.525, 30.525, 30.525]",424.243
2,"[38, 37, 37, 37, 37, 31.111, 30.525, 30.525, 30.525, 30.525]",424.38
3,"[39, 37, 37, 37, 37, 31.697, 30.525, 30.525, 30.525, 30.525]",424.496
4,"[40, 37, 37, 37, 37, 32.283, 30.525, 30.525, 30.525, 30.525]",424.593
5,"[41, 37, 37, 37, 37, 32.869, 30.525, 30.525, 30.525, 30.525]",424.672
6,"[42, 37, 37, 37, 37, 33.455, 30.525, 30.525, 30.525, 30.525]",424.735
7,"[43, 37, 37, 37, 37, 34.041, 30.525, 30.525, 30.525, 30.525]",424.783
8,"[44, 37, 37, 37, 37, 34.627, 30.525, 30.525, 30.525, 30.525]",424.817
9,"[45, 37, 37, 37, 37, 35.213, 30.525, 30.525, 30.525, 30.525]",424.839
10,"[46, 37, 37, 37, 37, 35.799, 30.525, 30.525, 30.525, 30.525]",424.849
11,"[47, 37, 37, 37, 37, 36.385, 30.525, 30.525, 30.525, 30.525]",424.849
12,"[48, 37, 37, 37, 37, 36.971, 30.525, 30.525, 30.525, 30.525]",424.839
13,"[49, 37, 37, 37, 37, 37.557, 30.525, 30.525, 30.525, 30.525]",424.821
14,"[38, 38, 37, 37, 37, 31.153, 31.153, 30.525, 30.525, 30.525]",424.5
15,"[39, 38, 37, 37, 37, 31.739, 31.153, 30.525, 30.525, 30.525]",424.616
16,"[40, 38, 37, 37, 37, 32.325, 31.153, 30.525, 30.525, 30.525]",424.713
17,"[41, 38, 37, 37, 37, 32.911, 31.153, 30.525, 30.525, 30.525]",424.792
18,"[42, 38, 37, 37, 37, 33.497, 31.153, 30.525, 30.525, 30.525]",424.855
19,"[43, 38, 37, 37, 37, 34.083, 31.153, 30.525, 30.525, 30.525]",424.903
20,"[44, 38, 37, 37, 37, 34.669, 31.153, 30.525, 30.525, 30.525]",424.937
21,"[45, 38, 37, 37, 37, 35.255, 31.153, 30.525, 30.525, 30.525]",424.959
22,"[46, 38, 37, 37, 37, 35.841, 31.153, 30.525, 30.525, 30.525]",424.969
23,"[47, 38, 37, 37, 37, 36.427, 31.153, 30.525, 30.525, 30.525]",424.969
24,"[48, 38, 37, 37, 37, 37.013, 31.153, 30.525, 30.525, 30.525]",424.96
25,"[49, 38, 37, 37, 37, 37.599, 31.153, 30.525, 30.525, 30.525]",424.941
26,"[39, 39, 37, 37, 37, 31.781, 31.781, 30.525, 30.525, 30.525]",424.716
27,"[40, 39, 37, 37, 37, 32.367, 31.781, 30.525, 30.525, 30.525]",424.812
28,"[41, 39, 37, 37, 37, 32.953, 31.781, 30.525, 30.525, 30.525]",424.891
29,"[42, 39, 37, 37, 37, 33.539, 31.781, 30.525, 30.525, 30.525]",424.954
30,"[43, 39, 37, 37, 37, 34.125, 31.781, 30.525, 30.525, 30.525]",425.002
31,"[44, 39, 37, 37, 37, 34.711, 31.781, 30.525, 30.525, 30.525]",425.036
32,"[45, 39, 37, 37, 37, 35.297, 31.781, 30.525, 30.525, 30.525]",425.058
33,"[46, 39, 37, 37, 37, 35.883, 31.781, 30.525, 30.525, 30.525]",425.069
34,"[47, 39, 37, 37, 37, 36.469, 31.781, 30.525, 30.525, 30.525]",425.068
35,"[48, 39, 37, 37, 37, 37.055, 31.781, 30.525, 30.525, 30.525]",425.059
36,"[49, 39, 37, 37, 37, 37.641, 31.781, 30.525, 30.525, 30.525]",425.04
37,"[40, 40, 37, 37, 37, 32.409, 32.409, 30.525, 30.525, 30.525]",424.892
38,"[41, 40, 37, 37, 37, 32.995, 32.409, 30.525, 30.525, 30.525]",424.971
39,"[42, 40, 37, 37, 37, 33.581, 32.409, 30.525, 30.525, 30.525]",425.034
40,"[43, 40, 37, 37, 37, 34.167, 32.409, 30.525, 30.525, 30.525]",425.082
41,"[44, 40, 37, 37, 37, 34.753, 32.409, 30.525, 30.525, 30.525]",425.116
42,"[45, 40, 37, 37, 37, 35.339, 32.409, 30.525, 30.525, 30.525]",425.138
43,"[46, 40, 37, 37, 37, 35.925, 32.409, 30.525, 30.525, 30.525]",425.148
44,"[47, 40, 37, 37, 37, 36.511, 32.409, 30.525, 30.525, 30.525]",425.148
45,"[48, 40, 37, 37, 37, 37.097, 32.409, 30.525, 30.525, 30.525]",425.139
46,"[49, 40, 37, 37, 37, 37.683, 32.409, 30.525, 30.525, 30.525]",425.12
47,"[41, 41, 37, 37, 37, 33.037, 33.037, 30.525, 30.525, 30.525]",425.033
48,"[42, 41, 37, 37, 37, 33.623, 33.037, 30.525, 30.525, 30.525]",425.096
49,"[43, 41, 37, 37, 37, 34.209, 33.037, 30.525, 30.525, 30.525]",425.144
50,"[44, 41, 37, 37, 37, 34.795, 33.037, 30.525, 30.525, 30.525]",425.178
51,"[45, 41, 37, 37, 37, 35.381, 33.037, 30.525, 30.525, 30.525]",425.2
52,"[46, 41, 37, 37, 37, 35.967, 33.037, 30.525, 30.525, 30.525]",425.211
53,"[47, 41, 37, 37, 37, 36.553, 33.037, 30.525, 30.525, 30.525]",425.21
54,"[48, 41, 37, 37, 37, 37.139, 33.037, 30.525, 30.525, 30.525]",425.201
55,"[49, 41, 37, 37, 37, 37.725, 33.037, 30.525, 30.525, 30.525]",425.182
56,"[42, 42, 37, 37, 37, 33.665, 33.665, 30.525, 30.525, 30.525]",425.142
57,"[43, 42, 37, 37, 37, 34.251, 33.665, 30.525, 30.525, 30.525]",425.19
58,"[44, 42, 37, 37, 37, 34.837, 33.665, 30.525, 30.525, 30.525]",425.224
59,"[45, 42, 37, 37, 37, 35.423, 33.665, 30.525, 30.525, 30.525]",425.246
60,"[46, 42, 37, 37, 37, 36.009, 33.665, 30.525, 30.525, 30.525]",425.257
61,"[47, 42, 37, 37, 37, 36.595, 33.665, 30.525, 30.525, 30.525]",425.256
62,"[48, 42, 37, 37, 37, 37.181, 33.665, 30.525, 30.525, 30.525]",425.247
63,"[49, 42, 37, 37, 37, 37.767, 33.665, 30.525, 30.525, 30.525]",425.228
64,"[43, 43, 37, 37, 37, 34.293, 34.293, 30.525, 30.525, 30.525]",425.221
65,"[44, 43, 37, 37, 37, 34.879, 34.293, 30.525, 30.525, 30.525]",425.255
66,"[45, 43, 37, 37, 37, 35.465, 34.293, 30.525, 30.525, 30.525]",425.277
67,"[46, 43, 37, 37, 37, 36.051, 34.293, 30.525, 30.525, 30.525]",425.288
68,"[47, 43, 37, 37, 37, 36.637, 34.293, 30.525, 30.525, 30.525]",425.288
69,"[48, 43, 37, 37, 37, 37.223, 34.293, 30.525, 30.525, 30.525]",425.278
70,"[49, 43, 37, 37, 37, 37.809, 34.293, 30.525, 30.525, 30.525]",425.259
71,"[44, 44, 37, 37, 37, 34.921, 34.921, 30.525, 30.525, 30.525]",425.273
72,"[45, 44, 37, 37, 37, 35.507, 34.921, 30.525, 30.525, 30.525]",425.295
73,"[46, 44, 37, 37, 37, 36.093, 34.921, 30.525, 30.525, 30.525]",425.305
74,"[47, 44, 37, 37, 37, 36.679, 34.921, 30.525, 30.525, 30.525]",425.305
75,"[48, 44, 37, 37, 37, 37.265, 34.921, 30.525, 30.525, 30.525]",425.295
76,"[49, 44, 37, 37, 37, 37.851, 34.921, 30.525, 30.525, 30.525]",425.277
77,"[45, 45, 37, 37, 37, 35.549, 35.549, 30.525, 30.525, 30.525]",425.3
78,"[46, 45, 37, 37, 37, 36.135, 35.549, 30.525, 30.525, 30.525]",425.31
79,"[47, 45, 37, 37, 37, 36.721, 35.549, 30.525, 30.525, 30.525]",425.31
80,"[48, 45, 37, 37, 37, 37.307, 35.549, 30.525, 30.525, 30.525]",425.301
