episode,uav_id,total_utility,uav_utility_list,select_agent
10,0,119.685,"[77.391,42.294]","[1,2]"
10,1,140.388,"[26.973,73.706,39.709]","[0,1,2]"
10,2,125.438,"[24.098,66.231,35.109]","[0,1,2]"
10,3,12.692,"[3.329,4.913,4.45]","[0,1,2]"
10,4,3.574,"[1.874,0.063,1.637]","[0,1,2]"
20,0,107.531,"[30.435,77.096]","[0,1]"
20,1,122.893,"[28.84,73.411,20.642]","[0,1,2]"
20,2,109.898,"[26.08,65.936,17.882]","[0,1,2]"
20,3,9.02,"[3.333,4.618,1.069]","[0,1,2]"
20,4,2.327,"[1.781,0.544,0.002]","[0,1,2]"
30,0,96.361,"[61.321,35.04]","[1,2]"
30,1,119.106,"[28.134,58.131,32.84]","[0,1,2]"
30,2,105.651,"[25.029,52.151,28.47]","[0,1,2]"
30,3,10.707,"[2.282,5.668,2.756]","[0,1,2]"
30,4,2.85,"[0.245,1.885,0.719]","[0,1,2]"
40,0,110.537,"[37.146,39.338,34.053]","[0,1,2]"
40,1,103.552,"[34.066,37.303,32.183]","[0,1,2]"
40,2,91.132,"[28.891,33.738,28.503]","[0,1,2]"
40,3,13.99,"[3.177,4.068,6.745]","[0,1,2]"
40,4,8.655,"[0.849,2.807,4.999]","[0,1,2]"
50,0,106.579,"[50.02,56.558]","[1,2]"
50,1,101.354,"[47.325,54.028]","[1,2]"
50,2,134.108,"[42.529,42.725,48.853]","[0,1,2]"
50,3,16.417,"[5.936,5.143,5.337]","[0,1,2]"
50,4,6.62,"[2.541,2.621,1.457]","[0,1,2]"
60,0,50.155,"[23.937,26.218]","[0,2]"
60,1,47.075,"[22.397,24.678]","[0,2]"
60,2,40.865,"[19.292,21.573]","[0,2]"
60,3,7.239,"[2.479,4.76]","[0,2]"
60,4,4.814,"[1.024,3.79]","[0,2]"
70,0,107.359,"[24.01,59.442,23.908]","[0,1,2]"
70,1,100.044,"[21.865,55.702,22.478]","[0,1,2]"
70,2,87.509,"[18.3,49.377,19.833]","[0,1,2]"
70,3,10.367,"[1.487,3.883,4.998]","[0,1,2]"
70,4,3.965,"[0.032,0.003,3.931]","[0,1,2]"
80,0,91.856,"[70.234,21.622]","[1,2]"
80,1,87.346,"[66.934,20.412]","[1,2]"
80,2,78.261,"[60.149,18.112]","[1,2]"
80,3,12.987,"[9.71,3.277]","[1,2]"
80,4,6.973,"[4.86,2.113]","[1,2]"
90,0,118.876,"[47.735,27.264,43.877]","[0,1,2]"
90,1,112.331,"[45.315,26.054,40.962]","[0,1,2]"
90,2,99.911,"[40.715,23.869,35.327]","[0,1,2]"
90,3,17.824,"[5.111,6.067,6.646]","[0,1,2]"
90,4,11.907,"[1.91,5.0,4.997]","[0,1,2]"
100,0,80.668,"[33.518,17.939,29.21]","[0,1,2]"
100,1,75.608,"[31.043,16.949,27.615]","[0,1,2]"
100,2,67.328,"[27.248,15.339,24.74]","[0,1,2]"
100,3,15.9,"[6.479,3.471,5.949]","[0,1,2]"
100,4,12.214,"[4.83,2.501,4.882]","[0,1,2]"
110,0,112.849,"[43.236,36.754,32.86]","[0,1,2]"
110,1,105.919,"[40.651,34.609,30.66]","[0,1,2]"
110,2,93.384,"[35.821,31.044,26.52]","[0,1,2]"
110,3,13.275,"[3.184,4.341,5.751]","[0,1,2]"
110,4,6.582,"[0.662,1.916,4.005]","[0,1,2]"
120,0,67.093,"[15.177,24.109,27.806]","[0,1,2]"
120,1,62.418,"[13.802,22.679,25.936]","[0,1,2]"
120,2,54.713,"[11.962,20.149,22.601]","[0,1,2]"
120,3,8.23,"[1.083,1.358,5.788]","[0,1,2]"
120,4,4.932,"[0.113,0.0,4.818]","[0,1,2]"
130,0,72.753,"[41.58,31.173]","[1,2]"
130,1,69.123,"[39.545,29.578]","[1,2]"
130,2,62.453,"[35.635,26.818]","[1,2]"
130,3,12.014,"[5.965,6.049]","[1,2]"
130,4,9.977,"[4.995,4.982]","[1,2]"
140,0,114.424,"[68.507,23.97,21.946]","[0,1,2]"
140,1,108.209,"[64.712,22.76,20.736]","[0,1,2]"
140,2,97.284,"[57.697,20.805,18.781]","[0,1,2]"
140,3,18.164,"[6.269,5.97,5.924]","[0,1,2]"
140,4,11.762,"[1.807,5.0,4.954]","[0,1,2]"
150,0,123.415,"[26.899,73.351,23.165]","[0,1,2]"
150,1,116.21,"[24.699,69.666,21.845]","[0,1,2]"
150,2,103.445,"[21.709,62.306,19.43]","[0,1,2]"
150,3,12.457,"[1.929,4.944,5.584]","[0,1,2]"
150,4,4.891,"[0.183,0.094,4.614]","[0,1,2]"
160,0,73.618,"[22.585,25.996,25.037]","[0,1,2]"
